dong,district,baselineCandidate,currentDrtMapped,population,elderly65Count,agingRate,single70Count,demandIndex,cag,allStopCount,routesPerStop,allRouteMentionCount,villageServingStopCount,villageServingStopShare,uniqueVillageRouteCount,villageRouteMentionCount,villageRouteMentionShare,villageRouteNames,meanNearestFacilityM,dssRaw,dssDisplay01,globalRank,eligibleRank,artifact_schema_version,analysis_id,snapshot_id,source_dates,unit_definition,formula,limitation,input_sha256,raw_source_sha256
관산동,고양시 덕양구,true,false,32905,9764,0.296733019297979,1957,0.150095440627772,1.22742619339782,129,4.61240310077519,595,127,0.984496124031008,8,264,0.443697478991597,"[""012"",""025"",""026"",""036"",""037"",""055"",""088"",""N005""]",834.258424110588,0.916459965734215,0.709878808224064,7,6,1.1.0,focus_area_gwansan_haengju_daehwa_v1,goyang_mixed_20250825_20260630,population=2026-06-30|onePersonHouseholds=2026-06-30|hiraFacilities=2026-06-30|analysisBoundary=2026-04-01|busStops=2025-08-25,명; 비율 0~1; 정류장 개소; 고유 노선명 개; 노선표기 건; 거리 m; 순위 1~44/41,재현분석 area_scores의 동일 필드와 2025-08-25 정류장 CSV 마을노선 존재 스크리닝을 동명으로 결합; 계산식은 각 원 분석과 village_bus_static_presence_screen_v1을 따름,"세 동의 기술 비교표이며 표본선정·인과검증이 아니다. 대화동은 비후보 설명용 비교 동이지 통계적 대조군이 아니며, 마을노선 수·정류장 비율은 배차나 실제 돌봄 접근성을 뜻하지 않는다.",area_adjacency=AF16E5259A667F45F5BF7F6B3DF3A22E1A4837C477F6B68DDC26CDCF60E2DFF0|area_scores=455106174A3E492D501F73B8BA55EFD1B7525656638E8109AE015C290C352DE3|bus_stops=BBA5AC0E8F29538F42373B1789179B5B9D2CF0186E0D3A618537C83B74B628D5|facilities=9AA2BC9D9F9E0EC421FB7D23A9C9BF0BD5EDB59EB173A91CB27E6EB2655A1E07|grid_scores=F2B4631D6C4DB1C379BB9CAA13D29A9C055273F1C0D682BAC13EDD19C0A9E9BF|metrics_code=7A3920ABAC99C0EEE1FA013FF751C14428D5AA95E0F1F3F32FCED6B7A49541BA|model_spec=435B1018F2D35A2B421D1827A23C0DC739DC1F827F71189F8F818CE0B0C670E4|source_manifest=983711BFCB49D15F33641A807365C5022D2C4FFF285E36D669F2DD55BA01A039,population=4D1530F251B312CE6564BA5676093B1043057F46A0FE2A58CF2756AFC530DA7B|one_person=01923C6EBD7440771E4EBE20CAB0648355A18C09D198677C0E265F5E68406A7D|admdongkor_boundary=6A63D079BA8AF4701AB200AD0B54EBDEA8689808B6E0E9F17973B9BA7883DC6A|bus_stops=01B63929056B55D0A8FE372756942FB9A81A89CB121A0CDB1838DDE9ED8555BF|hira_hospital=458D04F264BFE005CB12078699156CA72AD47B52062E0F79B8140E2635086268|hira_pharmacy=65B2B1E7F65BF1EFAF20C826BC1FB03CC24B65B359F4B5B51E1A234B334505A4
행주동,고양시 덕양구,true,false,11690,3243,0.277416595380667,746,-0.0078915205836514,0.790426008411893,40,3.05,122,34,0.85,6,54,0.442622950819672,"[""011"",""029B"",""060"",""065"",""069"",""072B""]",1358.41928683615,0.971135434923139,0.726047872960827,6,5,1.1.0,focus_area_gwansan_haengju_daehwa_v1,goyang_mixed_20250825_20260630,population=2026-06-30|onePersonHouseholds=2026-06-30|hiraFacilities=2026-06-30|analysisBoundary=2026-04-01|busStops=2025-08-25,명; 비율 0~1; 정류장 개소; 고유 노선명 개; 노선표기 건; 거리 m; 순위 1~44/41,재현분석 area_scores의 동일 필드와 2025-08-25 정류장 CSV 마을노선 존재 스크리닝을 동명으로 결합; 계산식은 각 원 분석과 village_bus_static_presence_screen_v1을 따름,"세 동의 기술 비교표이며 표본선정·인과검증이 아니다. 대화동은 비후보 설명용 비교 동이지 통계적 대조군이 아니며, 마을노선 수·정류장 비율은 배차나 실제 돌봄 접근성을 뜻하지 않는다.",area_adjacency=AF16E5259A667F45F5BF7F6B3DF3A22E1A4837C477F6B68DDC26CDCF60E2DFF0|area_scores=455106174A3E492D501F73B8BA55EFD1B7525656638E8109AE015C290C352DE3|bus_stops=BBA5AC0E8F29538F42373B1789179B5B9D2CF0186E0D3A618537C83B74B628D5|facilities=9AA2BC9D9F9E0EC421FB7D23A9C9BF0BD5EDB59EB173A91CB27E6EB2655A1E07|grid_scores=F2B4631D6C4DB1C379BB9CAA13D29A9C055273F1C0D682BAC13EDD19C0A9E9BF|metrics_code=7A3920ABAC99C0EEE1FA013FF751C14428D5AA95E0F1F3F32FCED6B7A49541BA|model_spec=435B1018F2D35A2B421D1827A23C0DC739DC1F827F71189F8F818CE0B0C670E4|source_manifest=983711BFCB49D15F33641A807365C5022D2C4FFF285E36D669F2DD55BA01A039,population=4D1530F251B312CE6564BA5676093B1043057F46A0FE2A58CF2756AFC530DA7B|one_person=01923C6EBD7440771E4EBE20CAB0648355A18C09D198677C0E265F5E68406A7D|admdongkor_boundary=6A63D079BA8AF4701AB200AD0B54EBDEA8689808B6E0E9F17973B9BA7883DC6A|bus_stops=01B63929056B55D0A8FE372756942FB9A81A89CB121A0CDB1838DDE9ED8555BF|hira_hospital=458D04F264BFE005CB12078699156CA72AD47B52062E0F79B8140E2635086268|hira_pharmacy=65B2B1E7F65BF1EFAF20C826BC1FB03CC24B65B359F4B5B51E1A234B334505A4
대화동,고양시 일산서구,false,false,33234,6283,0.189083468736836,1073,-0.351512429196386,-0.751558851275841,68,6.48529411764706,441,53,0.779411764705882,12,112,0.253968253968254,"[""056"",""057"",""059"",""062A"",""062B"",""066A"",""074"",""090"",""091A"",""091B"",""N002"",""N007""]",289.258239052582,-0.798599414530323,0.202687803587782,38,35,1.1.0,focus_area_gwansan_haengju_daehwa_v1,goyang_mixed_20250825_20260630,population=2026-06-30|onePersonHouseholds=2026-06-30|hiraFacilities=2026-06-30|analysisBoundary=2026-04-01|busStops=2025-08-25,명; 비율 0~1; 정류장 개소; 고유 노선명 개; 노선표기 건; 거리 m; 순위 1~44/41,재현분석 area_scores의 동일 필드와 2025-08-25 정류장 CSV 마을노선 존재 스크리닝을 동명으로 결합; 계산식은 각 원 분석과 village_bus_static_presence_screen_v1을 따름,"세 동의 기술 비교표이며 표본선정·인과검증이 아니다. 대화동은 비후보 설명용 비교 동이지 통계적 대조군이 아니며, 마을노선 수·정류장 비율은 배차나 실제 돌봄 접근성을 뜻하지 않는다.",area_adjacency=AF16E5259A667F45F5BF7F6B3DF3A22E1A4837C477F6B68DDC26CDCF60E2DFF0|area_scores=455106174A3E492D501F73B8BA55EFD1B7525656638E8109AE015C290C352DE3|bus_stops=BBA5AC0E8F29538F42373B1789179B5B9D2CF0186E0D3A618537C83B74B628D5|facilities=9AA2BC9D9F9E0EC421FB7D23A9C9BF0BD5EDB59EB173A91CB27E6EB2655A1E07|grid_scores=F2B4631D6C4DB1C379BB9CAA13D29A9C055273F1C0D682BAC13EDD19C0A9E9BF|metrics_code=7A3920ABAC99C0EEE1FA013FF751C14428D5AA95E0F1F3F32FCED6B7A49541BA|model_spec=435B1018F2D35A2B421D1827A23C0DC739DC1F827F71189F8F818CE0B0C670E4|source_manifest=983711BFCB49D15F33641A807365C5022D2C4FFF285E36D669F2DD55BA01A039,population=4D1530F251B312CE6564BA5676093B1043057F46A0FE2A58CF2756AFC530DA7B|one_person=01923C6EBD7440771E4EBE20CAB0648355A18C09D198677C0E265F5E68406A7D|admdongkor_boundary=6A63D079BA8AF4701AB200AD0B54EBDEA8689808B6E0E9F17973B9BA7883DC6A|bus_stops=01B63929056B55D0A8FE372756942FB9A81A89CB121A0CDB1838DDE9ED8555BF|hira_hospital=458D04F264BFE005CB12078699156CA72AD47B52062E0F79B8140E2635086268|hira_pharmacy=65B2B1E7F65BF1EFAF20C826BC1FB03CC24B65B359F4B5B51E1A234B334505A4
