scenario_id,replacement_scope,destination_definition,facility_record_count,facility_weight_rule,source_version,beta_per_min,walking_speed_mps,dong_name,demand_index,ri_mean,cag,bus_inefficiency_raw,facility_dispersion_mean_m,dss_raw,dss_01,rank_global,rank_eligible,top8_eligible,baseline_ri_mean,baseline_cag,baseline_facility_dispersion_mean_m,baseline_dss_raw,baseline_rank_global,baseline_rank_eligible,baseline_top8_eligible,ri_change_vs_baseline,cag_change_vs_baseline,facility_dispersion_change_m,rank_global_change
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,주교동,0.0373062907032981,11.16134824352095,0.7489773417793479,0.0002633798090061,801.3816390718099,0.9721090649827719,0.7263358025880472,5,4,True,11.16134824352095,0.7489773417793479,801.3816390718099,0.9721090649827719,5,4,True,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,원신동,-0.5975421223625897,4.3702956881167205,0.237380496391152,0.0001330932520967,1186.982844118443,0.40935073469645483,0.5599124319515661,11,10,False,4.3702956881167205,0.237380496391152,1186.982844118443,0.40935073469645483,11,10,False,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,흥도동,-0.9270607543001314,8.179865439321938,-0.3162033413448106,0.0001156461146152,859.7734545792188,-0.10284326632186505,0.40844234704694005,24,23,False,8.179865439321938,-0.3162033413448106,859.7734545792188,-0.10284326632186505,24,23,False,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,성사1동,0.3010965635006501,21.617158395816187,0.6617518921402419,2.031490211182485e-05,523.7998073037636,0.22834339977689266,0.5063835028073032,16,15,False,21.617158395816187,0.6617518921402419,523.7998073037636,0.22834339977689266,16,15,False,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,성사2동,0.8457553469012984,27.15650752537194,1.1119372687890825,1.7230993038091426e-05,413.428634514588,0.495050130191262,0.5852561389962905,10,9,False,27.15650752537194,1.1119372687890825,413.428634514588,0.495050130191262,10,9,False,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,효자동,-1.1882440726489265,1.6608646599432235,-0.3803880881701609,0.0002888832579403,4152.763786508891,1.2192832926591888,0.7994321316702833,3,2,True,1.6608646599432235,-0.3803880881701609,4152.763786508891,1.2192832926591888,3,2,True,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,삼송1동,-0.9119782760816036,9.489139859652225,-0.3491306880077152,5.353799579996714e-05,724.2217901819029,-0.3184436573245626,0.34468328414163063,33,31,False,9.489139859652225,-0.3491306880077152,724.2217901819029,-0.3184436573245626,33,31,False,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,삼송2동,0.1301607530791594,15.587863467125716,0.688974704870108,2.402335580108581e-05,438.5989880666536,0.23190761198698412,0.5074375399983037,15,14,False,15.587863467125716,0.688974704870108,438.5989880666536,0.23190761198698412,15,14,False,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,창릉동,-1.0157711971683734,5.230356044778631,-0.3091252353727,0.0001797900400723,1141.848174531454,0.14183434581213775,0.4808003571183485,18,17,False,5.230356044778631,-0.3091252353727,1141.848174531454,0.14183434581213775,18,17,False,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,고양동,-0.1975879706958513,2.3792741219830367,0.8058970767150847,0.000190081904272,1438.5542854295577,1.0087851404317612,0.737181943408092,4,3,True,2.3792741219830367,0.8058970767150847,1438.5542854295577,1.0087851404317612,4,3,True,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,관산동,0.1500954406277719,2.4993253459689755,1.2274261933978212,0.0001069583515347,834.2584241105883,0.9164599657340404,0.7098788082239726,7,6,True,2.4993253459689755,1.2274261933978212,834.2584241105883,0.9164599657340404,7,6,True,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,능곡동,-0.4975153295188249,7.552714240549709,0.2350289134429036,0.0002238689103166,1268.7646315385791,0.6571956174539099,0.6332070924899781,8,7,True,7.552714240549709,0.2350289134429036,1268.7646315385791,0.6571956174539099,8,7,True,0.0,0.0,0.0,0
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,화정1동,0.4196982280559918,40.54288884542499,0.0639015999634497,1.3405564215691206e-05,312.01281044718525,-0.254909890591197,0.3634719951032597,31,29,False,40.54288884542499,0.0639015999634497,312.01281044718525,-0.254909890591197,31,29,False,0.0,0.0,0.0,0
